Наименование,Цена,Кол-во,Категория,Валюта,Поставщик,Артикул
Ноутбук MacBook Pro 14 M2,1999.00,4,Электроника,USD,AppleStore,AP-MBP14-M2
MacBook Pro 14 M2,1999.00,4,Электроника,usd,AppleStore,AP-MBP14-M2
Планшет Samsung Galaxy Tab S8,549,5,Планшеты,USD,SamsungKZ,SG-TS8-256
Электронная книга Kindle Paperwhite,139.99,15,Планшеты,USD,AmazonKZ,AM-KPW-11
Проектор BenQ TH685P,699,1,Оргтехника,USD,BenQShop,BQ-TH685
Интерактивная доска SMART Board,,1,Оргтехника,USD,SmartKZ,SM-SBM-75
ТВ Samsung QLED 55",899.00,2,Телевизоры,USD,SamsungKZ,SG-Q55-4K
ТВ LG OLED 55",1099,1,Телевизоры,usd,LGDistrib,LG-OL55-C2
Саундбар Samsung HW-Q800B,349.00,3,Аудио,USD,SamsungKZ,SG-HWQ800
ТВ-приставка Apple TV 4K,129,8,Телевизоры,USD,AppleStore,AP-ATV4K
Игровая консоль PS5,499.00,0,Игровые консоли,USD,SonyShop,SN-PS5-STD
Игровая консоль Xbox Series X,499,0,Игровые консоли,USD,MicrosoftKZ,MS-XSX
Геймпад DualSense PS5,69.99,25,Аксессуары,USD,SonyShop,SN-DS-WHT
Игровая гарнитура SteelSeries Arctis 7,149,12,Аудио,USD,SteelKZ,SS-ARC7-BLK
Руль Logitech G923,349.00,2,Периферия,USD,LogiWorld,LG-G923
уточнить у поставщика цену,,,Периферия,USD,RazerShop,
Видеокарта RX 7900 XTX,899,2,Компоненты,USD,AMDShop,AM-RX7900XTX
Монитор ASUS ProArt 27 4K,649.00,3,Мониторы,USD,AsusKZ,AS-PA279-4K
Графический планшет Wacom Intuos,199,7,Периферия,USD,WacomKZ,WC-INT-M
Сетевое хранилище QNAP TS-453D,499.00,1,Накопители,USD,QNAPShop,QN-TS453D
SSD WD Black SN850X 2TB,129,18,Накопители,USD,WDShop,WD-SN850-2T
SSD WD Black SN850X 2TB,129,18,Накопители,USD,WDShop,WD-SN850-2T
Наушники Sennheiser HD 660S,349.00,4,Аудио,USD,SennShop,SN-HD660S
ЦАП/АЦП Focusrite Scarlett 2i2,159,6,Аудио,USD,FocusKZ,FC-SC2I2
Микрофон Rode NT-USB+,169.00,5,Аудио,USD,RodeShop,RD-NTUSB
Камера Sony ZV-E10,599,3,Фото/Видео,USD,SonyShop,SN-ZVE10
Объектив Sony 50mm f/1.8,248.00,4,Фото/Видео,USD,SonyShop,SN-L50-18
Штатив Joby GorillaPod 3K,49.99,20,Фото/Видео,USD,JobyShop,JB-GP3K
Диктофон Sony ICD-UX570,79,10,Аудио,USD,SonyShop,SN-ICD-UX570
,,,,,TechSupply,
Внешний SSD Samsung T7 1TB,89.99,30,Накопители,USD,SamsungKZ,SG-T7-1TB
Зарядное устройство Anker 65W GaN,29.99,85,Аксессуары,usd,AnkerShop,AN-65W-GAN
Кабель Lightning 2м MFI,14.50,120,Аксессуары,USD,CableKZ,CB-LTG-2M
Чехол для MacBook 14 кожаный,45,35,Аксессуары,USD,CaseKZ,CS-MBP14-LTH
Подставка для ноутбука Twelve South,55.00,18,Аксессуары,USD,TwelveSouth,TS-CS-SLV
Очиститель экранов набор,7.99,200,Аксессуары,USD,CleanKZ,CL-SCR-KIT
Термопаста Arctic MX-6 4г,8.50,90,Компоненты,USD,ArcticShop,AR-MX6-4G
Антистатический браслет,3.99,150,Аксессуары,USD,ToolsKZ,TL-AST-WR
